full_team_names,season,playoff
Pittsburgh Penguins,20082009,TRUE
Detroit Red Wings,20082009,TRUE
Chicago Blackhawks,20082009,TRUE
Carolina Hurricanes,20082009,TRUE
Boston Bruins,20082009,TRUE
Anaheim Ducks,20082009,TRUE
Washington Capitals,20082009,TRUE
Vancouver Canucks,20082009,TRUE
New Jersey Devils,20082009,TRUE
New York Rangers,20082009,TRUE
San Jose Sharks,20082009,TRUE
Calgary Flames,20082009,TRUE
Philadelphia Flyers,20082009,TRUE
Columbus Blue Jackets,20082009,TRUE
St. Louis Blues,20082009,TRUE
Montreal Canadiens,20082009,TRUE
