full_team_names,season,playoff
Boston Bruins,20102011,TRUE
Vancouver Canucks,20102011,TRUE
Tampa Bay Lightning,20102011,TRUE
San Jose Sharks,20102011,TRUE
Detroit Red Wings,20102011,TRUE
Nashville Predators,20102011,TRUE
Washington Capitals,20102011,TRUE
Philadelphia Flyers,20102011,TRUE
Chicago Blackhawks,20102011,TRUE
Montreal Canadiens,20102011,TRUE
Pittsburgh Penguins,20102011,TRUE
Buffalo Sabres,20102011,TRUE
Anaheim Ducks,20102011,TRUE
Los Angeles Kings,20102011,TRUE
New York Rangers,20102011,TRUE
Phoenix Coyotes,20102011,TRUE
