full_team_names,season,playoff
Los Angeles Kings,20132014,TRUE
New York Rangers,20132014,TRUE
Chicago Blackhawks,20132014,TRUE
Montreal Canadiens,20132014,TRUE
Boston Bruins,20132014,TRUE
Pittsburgh Penguins,20132014,TRUE
Anaheim Ducks,20132014,TRUE
Minnesota Wild,20132014,TRUE
San Jose Sharks,20132014,TRUE
Colorado Avalanche,20132014,TRUE
Philadelphia Flyers,20132014,TRUE
St. Louis Blues,20132014,TRUE
Dallas Stars,20132014,TRUE
Columbus Blue Jackets,20132014,TRUE
Detroit Red Wings,20132014,TRUE
Tampa Bay Lightning,20132014,TRUE
