full_team_names,season,playoff
Chicago Blackhawks,20142015,TRUE
Tampa Bay Lightning,20142015,TRUE
Anaheim Ducks,20142015,TRUE
New York Rangers,20142015,TRUE
Washington Capitals,20142015,TRUE
Montreal Canadiens,20142015,TRUE
Calgary Flames,20142015,TRUE
Minnesota Wild,20142015,TRUE
Detroit Red Wings,20142015,TRUE
New York Islanders,20142015,TRUE
Vancouver Canucks,20142015,TRUE
Ottawa Senators,20142015,TRUE
Nashville Predators,20142015,TRUE
St. Louis Blues,20142015,TRUE
Pittsburgh Penguins,20142015,TRUE
Winnipeg Jets,20142015,TRUE
