full_team_names,season,playoff
Pittsburgh Penguins,20152016,TRUE
San Jose Sharks,20152016,TRUE
Tampa Bay Lightning,20152016,TRUE
St. Louis Blues,20152016,TRUE
Dallas Stars,20152016,TRUE
Nashville Predators,20152016,TRUE
Washington Capitals,20152016,TRUE
New York Islanders,20152016,TRUE
Chicago Blackhawks,20152016,TRUE
Anaheim Ducks,20152016,TRUE
Philadelphia Flyers,20152016,TRUE
Minnesota Wild,20152016,TRUE
Florida Panthers,20152016,TRUE
Detroit Red Wings,20152016,TRUE
New York Rangers,20152016,TRUE
Los Angeles Kings,20152016,TRUE
