full_team_names,season,playoff
Chicago Blackhawks,20092010,TRUE
Philadelphia Flyers,20092010,TRUE
Montreal Canadiens,20092010,TRUE
San Jose Sharks,20092010,TRUE
Pittsburgh Penguins,20092010,TRUE
Boston Bruins,20092010,TRUE
Vancouver Canucks,20092010,TRUE
Detroit Red Wings,20092010,TRUE
Washington Capitals,20092010,TRUE
Phoenix Coyotes,20092010,TRUE
Colorado Avalanche,20092010,TRUE
Nashville Predators,20092010,TRUE
Ottawa Senators,20092010,TRUE
Los Angeles Kings,20092010,TRUE
Buffalo Sabres,20092010,TRUE
New Jersey Devils,20092010,TRUE
