full_team_names,season,playoff
Carolina Hurricanes,20052006,TRUE
Edmonton Oilers,20052006,TRUE
Buffalo Sabres,20052006,TRUE
Mighty Ducks of Anaheim,20052006,TRUE
San Jose Sharks,20052006,TRUE
New Jersey Devils,20052006,TRUE
Ottawa Senators,20052006,TRUE
Colorado Avalanche,20052006,TRUE
Calgary Flames,20052006,TRUE
Detroit Red Wings,20052006,TRUE
Philadelphia Flyers,20052006,TRUE
Montreal Canadiens,20052006,TRUE
Dallas Stars,20052006,TRUE
Tampa Bay Lightning,20052006,TRUE
Nashville Predators,20052006,TRUE
New York Rangers,20052006,TRUE
