full_team_names,season,playoff
Chicago Blackhawks,20122013,TRUE
Boston Bruins,20122013,TRUE
Los Angeles Kings,20122013,TRUE
Pittsburgh Penguins,20122013,TRUE
San Jose Sharks,20122013,TRUE
Detroit Red Wings,20122013,TRUE
Ottawa Senators,20122013,TRUE
New York Rangers,20122013,TRUE
Toronto Maple Leafs,20122013,TRUE
Anaheim Ducks,20122013,TRUE
Washington Capitals,20122013,TRUE
St. Louis Blues,20122013,TRUE
New York Islanders,20122013,TRUE
Minnesota Wild,20122013,TRUE
Montreal Canadiens,20122013,TRUE
Vancouver Canucks,20122013,TRUE
