full_team_names,season,playoff
Detroit Red Wings,20072008,TRUE
Pittsburgh Penguins,20072008,TRUE
Dallas Stars,20072008,TRUE
Philadelphia Flyers,20072008,TRUE
San Jose Sharks,20072008,TRUE
New York Rangers,20072008,TRUE
Montreal Canadiens,20072008,TRUE
Colorado Avalanche,20072008,TRUE
Washington Capitals,20072008,TRUE
Boston Bruins,20072008,TRUE
Calgary Flames,20072008,TRUE
Minnesota Wild,20072008,TRUE
Anaheim Ducks,20072008,TRUE
Nashville Predators,20072008,TRUE
New Jersey Devils,20072008,TRUE
Ottawa Senators,20072008,TRUE
