full_team_names,season,playoff
Los Angeles Kings,20112012,TRUE
New Jersey Devils,20112012,TRUE
New York Rangers,20112012,TRUE
Phoenix Coyotes,20112012,TRUE
Washington Capitals,20112012,TRUE
Nashville Predators,20112012,TRUE
Philadelphia Flyers,20112012,TRUE
St. Louis Blues,20112012,TRUE
Florida Panthers,20112012,TRUE
Ottawa Senators,20112012,TRUE
Boston Bruins,20112012,TRUE
Chicago Blackhawks,20112012,TRUE
Pittsburgh Penguins,20112012,TRUE
San Jose Sharks,20112012,TRUE
Vancouver Canucks,20112012,TRUE
Detroit Red Wings,20112012,TRUE
